event,sex,athlete,nationality,date,time_raw,time_seconds,wind,auto_raw
100m,men,Donald Lippincott,United States,1912-07-06,10.6,10.6,,
100m,men,Jackson Scholz,United States,1920-09-16,10.6,10.6,,
100m,men,Charley Paddock,United States,1921-04-23,10.4,10.4,,
100m,men,Eddie Tolan,United States,1929-08-08,10.4,10.4,0.0,
100m,men,Eddie Tolan,United States,1929-08-25,10.4,10.4,,
100m,men,Percy Williams,Canada,1930-08-09,10.3,10.3,,
100m,men,Eddie Tolan,United States,1932-08-01,10.3,10.3,0.4,10.38
100m,men,Ralph Metcalfe,United States,1933-08-12,10.3,10.3,,
100m,men,Eulace Peacock,United States,1934-08-06,10.3,10.3,,
100m,men,Chris Berger,Netherlands,1934-08-26,10.3,10.3,,
100m,men,Ralph Metcalfe,United States,1934-09-15,10.3,10.3,,
100m,men,Ralph Metcalfe,United States,1934-09-23,10.3,10.3,2.0,
100m,men,Takayoshi Yoshioka,Japan,1935-06-15,10.3,10.3,2.5,
100m,men,Jesse Owens,United States,1936-06-20,10.2,10.2,1.2,
100m,men,Harold Davis,United States,1941-06-06,10.2,10.2,-0.9,
100m,men,Lloyd LaBeach,Panama,1948-05-15,10.2,10.2,0.7,
100m,men,Barney Ewell,United States,1948-07-09,10.2,10.2,,10.35
100m,men,McDonald Bailey,Great Britain,1951-08-25,10.2,10.2,0.0,
100m,men,Heinz Fütterer,West Germany,1954-10-31,10.2,10.2,1.1,
100m,men,Bobby Morrow,United States,1956-05-19,10.2,10.2,0.9,
100m,men,Ira Murchison,United States,1956-06-01,10.2,10.2,-1.0,
100m,men,Bobby Morrow,United States,1956-06-22,10.2,10.2,0.0,
100m,men,Ira Murchison,United States,1956-06-29,10.2,10.2,-1.3,
100m,men,Bobby Morrow,United States,1956-06-29,10.2,10.2,-0.4,
100m,men,Willie Williams,United States,1956-08-03,10.1,10.1,0.7,
100m,men,Ira Murchison,United States,1956-08-04,10.1,10.1,1.0,
100m,men,Leamon King,United States,1956-10-20,10.1,10.1,1.5,
100m,men,Leamon King,United States,1956-10-27,10.1,10.1,0.9,
100m,men,Ray Norton,United States,1959-04-18,10.1,10.1,1.3,
100m,men,Bob Hayes,United States,1964-10-15,10.06,10.06,1.3,
100m,men,Jim Hines,United States,1968-06-20,10.03,10.03,0.8,
100m,men,Charles Greene,United States,1968-10-13,10.02,10.02,2.0,
100m,men,Jim Hines,United States,1968-10-14,9.95,9.95,0.3,
100m,men,Calvin Smith,United States,1983-07-03,9.93,9.93,1.4,
100m,men,Carl Lewis,United States,1987-08-30,9.93,9.93,1.0,
100m,men,Carl Lewis,United States,1988-08-17,9.93,9.93,1.1,
100m,men,Carl Lewis,United States,1988-09-24,9.92,9.92,1.1,
100m,men,Leroy Burrell,United States,1991-06-14,9.9,9.9,1.9,
100m,men,Carl Lewis,United States,1991-08-25,9.86,9.86,1.0,
100m,men,Leroy Burrell,United States,1994-07-06,9.85,9.85,1.2,9848.0
100m,men,Donovan Bailey,Canada,1996-07-27,9.84,9.84,0.7,9835.0
100m,men,Maurice Greene,United States,1999-06-16,9.79,9.79,0.1,
100m,men,Tim Montgomery,United States,2002-09-14,9.78,9.78,2.0,
100m,men,Asafa Powell,Jamaica,2005-06-14,9.77,9.77,1.6,9768.0
100m,men,Justin Gatlin,United States,2006-05-12,9.77,9.77,1.7,9766.0
100m,men,Asafa Powell,Jamaica,2006-06-11,9.77,9.77,1.5,9763.0
100m,men,Asafa Powell,Jamaica,2006-08-18,9.77,9.77,1.0,9762.0
100m,men,Asafa Powell,Jamaica,2007-09-09,9.74,9.74,1.7,9735.0
100m,men,Usain Bolt,Jamaica,2008-05-31,9.72,9.72,1.7,9715.0
100m,men,Usain Bolt,Jamaica,2008-08-16,9.69,9.69,0.0,9683.0
100m,men,Usain Bolt,Jamaica,2009-08-16,9.58,9.58,0.9,9572.0
100m,women,Marie Mejzlíková,Czechoslovakia,1922-08-05,13.6,13.6,,
100m,women,Mary Lines,United Kingdom,1922-08-20,12.8,12.8,,
100m,women,Marie Mejzlíková,Czechoslovakia,1923-05-13,12.8,12.8,,
100m,women,Emmi Haux,Germany,1923-05-21,"12.7
(110y)",12.7,,
100m,women,Leni Schmidt,Germany,1925-08-30,12.4,12.4,,
100m,women,Leni Junker,Germany,1925-09-13,"12.2
(110y)",12.2,,
100m,women,Gundel Wittmann,Germany,1926-08-22,12.4,12.4,,
100m,women,Leni Junker,Germany,1926-08-29,12.2,12.2,,
100m,women,Gertrud Gladitsch,Germany,1927-07-03,"12.1
(110y)",12.1,,
100m,women,Kinue Hitomi,Japan,1928-05-20,12.2,12.2,,
100m,women,Betty Robinson,United States,1928-06-02,12.0,12.0,,
