event,sex,athlete,nationality,date,time_raw,time_seconds,wind,auto_raw
10000m,men,William Howitt,GBR,1847-04-05,32:35.0[a],1955.0,,
10000m,men,Walter George,GBR,1882-03-25,32:09.0[b],1929.0,,
10000m,men,Walter George,GBR,1884-04-07,31:53.4[b],1913.4,,
10000m,men,Walter George,GBR,1884-07-28,31:40.0[b],1900.0,,
10000m,men,William Cummings,GBR,1885-09-28,31:23.1,1883.1,,
10000m,men,Alfred Shrubb,GBR,1904-11-05,31:02.4,1862.4,,
10000m,men,Jean Bouin,FRA,1911-11-16,30:58.8,1858.8,,
10000m,men,Paavo Nurmi,FIN,1921-06-22,30:40.2,1840.2,,
10000m,men,Ville Ritola,FIN,1924-05-25,30:35.4,1835.4,,
10000m,men,Ville Ritola,FIN,1924-07-06,30:23.2,1823.2,,
10000m,men,Paavo Nurmi,FIN,1924-08-31,30:06.2,1806.2,,
10000m,men,Ilmari Salminen,FIN,1937-07-18,30:05.6,1805.6,,
10000m,men,Taisto Mäki,FIN,1938-09-29,30:02.0,1802.0,,
10000m,men,Taisto Mäki,FIN,1939-09-17,29:52.6,1792.6,,
10000m,men,Viljo Heino,FIN,1944-08-25,29:35.4,1775.4,,
10000m,men,Emil Zátopek,TCH,1949-06-11,29:28.2,1768.2,,
10000m,men,Viljo Heino,FIN,1949-09-01,29:27.2,1767.2,,
10000m,men,Emil Zátopek,TCH,1949-10-22,29:21.2,1761.2,,
10000m,men,Emil Zátopek,TCH,1950-08-04,29:02.6,1742.6,,
10000m,men,Emil Zátopek,TCH,1953-11-01,29:01.6,1741.6,,
10000m,men,Emil Zátopek,TCH,1954-06-01,28:54.2,1734.2,,
10000m,men,Sandor Iharos,HUN,1956-07-15,28:42.8,1722.8,,
10000m,men,Vladimir Kuts,URS,1956-09-11,28:30.4,1710.4,,
10000m,men,Pyotr Bolotnikov,URS,1960-10-15,28:18.8,1698.8,,
10000m,men,Pyotr Bolotnikov,URS,1962-08-11,28:18.2,1698.2,,
10000m,men,Ron Clarke,AUS,1963-12-18,28:15.6,1695.6,,
10000m,men,Ron Clarke,AUS,1965-07-14,27:39.4,1659.4,,
10000m,men,Lasse Virén,FIN,1972-09-03,27:38.4,1658.4,,
10000m,men,David Bedford,GBR,1973-07-13,27:30.8,1650.8,,
10000m,men,Samson Kimobwa,KEN,1977-06-30,27:30.5,1650.5,,
10000m,men,Henry Rono,KEN,1978-06-11,27:22.4,1642.4,,
10000m,men,Fernando Mamede,POR,1984-07-02,27:13.81,1633.81,,
10000m,men,Arturo Barrios,MEX,1989-08-18,27:08.23,1628.23,,
10000m,men,Richard Chelimo,KEN,1993-07-05,27:07.91,1627.91,,
10000m,men,Yobes Ondieki,KEN,1993-07-10,26:58.38,1618.38,,
10000m,men,William Sigei,KEN,1994-07-22,26:52.23,1612.23,,
10000m,men,Haile Gebrselassie,ETH,1995-06-05,26:43.53,1603.53,,
10000m,men,Salah Hissou,MAR,1996-08-23,26:38.08,1598.08,,
10000m,men,Haile Gebrselassie,ETH,1997-07-04,26:31.32,1591.32,,
10000m,men,Paul Tergat,KEN,1997-08-22,26:27.85,1587.85,,
10000m,men,Haile Gebrselassie,ETH,1998-06-01,26:22.75,1582.75,,
10000m,men,Kenenisa Bekele,ETH,2004-06-08,26:20.31,1580.31,,
10000m,men,Kenenisa Bekele,ETH,2005-08-26,26:17.53,1577.53,,
10000m,men,Joshua Cheptegei,UGA,2020-10-07,26:11.00,1571.0,,
10000m,women,Gertrud Schmidt,GDR,1966-10-20,39:25.0,2365.0,,
10000m,women,Hannelore Middeke,GDR,1966-10-20,39:10.0,2350.0,,
10000m,women,Ann O'Brien,IRL,1967-03-26,38:06.4,2286.4,,
10000m,women,Paola Pigni,ITA,1970-05-09,35:30.5,2130.5,,
10000m,women,Kathy Gibbons,USA,1971-06-12,34:51.0,2091.0,,
10000m,women,Julie Brown,USA,1975-03-29,35:00.4,2100.4,,
10000m,women,Christa Vahlensieck,FRG,1975-08-20,34:01.4,2041.4,,
10000m,women,Loa Olafsson,DEN,1977-03-19,33:34.1,2014.1,,
10000m,women,Peg Neppel,USA,1977-06-09,33:15.09,1995.09,,
10000m,women,Natalia Mărăşescu,ROM,1978-01-22,32:43.2,1963.2,,
10000m,women,Olga Krentser,URS,1981-08-07,32:30.80,1950.8,,
10000m,women,Yelena Sipatova,URS,1981-10-19,32:17.20,1937.2,,
10000m,women,Mary Decker-Slaney,USA,1982-07-16,31:35.3,1895.3,,
10000m,women,Lyudmila Baranova,URS,1983-05-29,31:35.01,1895.01,,
10000m,women,Raisa Sadreydinova,URS,1983-09-07,31:27.58,1887.58,,
10000m,women,Olga Bondarenko,URS,1984-06-24,31:13.78,1873.78,,
10000m,women,Ingrid Kristiansen,NOR,1985-07-27,30:59.42,1859.42,,
10000m,women,Ingrid Kristiansen,NOR,1986-07-05,30:13.74,1813.74,,
10000m,women,Wang Junxia,CHN,1993-09-08,29:31.78,1771.78,,
10000m,women,Almaz Ayana,ETH,2016-08-12,29:17.45,1757.45,,
10000m,women,Sifan Hassan,NED,2021-06-06,29:06.82,1746.82,,
10000m,women,Letesenbet Gidey,ETH,2021-06-08,29:01.03,1741.03,,
10000m,women,Beatrice Chebet,KEN,2024-05-25,28:54.14,1734.14,,
100m,men,Donald Lippincott,United States,1912-07-06,10.6,10.6,,
100m,men,Jackson Scholz,United States,1920-09-16,10.6,10.6,,
100m,men,Charley Paddock,United States,1921-04-23,10.4,10.4,,
100m,men,Eddie Tolan,United States,1929-08-08,10.4,10.4,0.0,
100m,men,Eddie Tolan,United States,1929-08-25,10.4,10.4,,
100m,men,Percy Williams,Canada,1930-08-09,10.3,10.3,,
100m,men,Eddie Tolan,United States,1932-08-01,10.3,10.3,0.4,10.38
100m,men,Ralph Metcalfe,United States,1933-08-12,10.3,10.3,,
100m,men,Eulace Peacock,United States,1934-08-06,10.3,10.3,,
100m,men,Chris Berger,Netherlands,1934-08-26,10.3,10.3,,
100m,men,Ralph Metcalfe,United States,1934-09-15,10.3,10.3,,
100m,men,Ralph Metcalfe,United States,1934-09-23,10.3,10.3,2.0,
100m,men,Takayoshi Yoshioka,Japan,1935-06-15,10.3,10.3,2.5,
100m,men,Jesse Owens,United States,1936-06-20,10.2,10.2,1.2,
100m,men,Harold Davis,United States,1941-06-06,10.2,10.2,-0.9,
100m,men,Lloyd LaBeach,Panama,1948-05-15,10.2,10.2,0.7,
100m,men,Barney Ewell,United States,1948-07-09,10.2,10.2,,10.35
100m,men,McDonald Bailey,Great Britain,1951-08-25,10.2,10.2,0.0,
100m,men,Heinz Fütterer,West Germany,1954-10-31,10.2,10.2,1.1,
100m,men,Bobby Morrow,United States,1956-05-19,10.2,10.2,0.9,
100m,men,Ira Murchison,United States,1956-06-01,10.2,10.2,-1.0,
100m,men,Bobby Morrow,United States,1956-06-22,10.2,10.2,0.0,
100m,men,Ira Murchison,United States,1956-06-29,10.2,10.2,-1.3,
100m,men,Bobby Morrow,United States,1956-06-29,10.2,10.2,-0.4,
100m,men,Willie Williams,United States,1956-08-03,10.1,10.1,0.7,
100m,men,Ira Murchison,United States,1956-08-04,10.1,10.1,1.0,
100m,men,Leamon King,United States,1956-10-20,10.1,10.1,1.5,
100m,men,Leamon King,United States,1956-10-27,10.1,10.1,0.9,
100m,men,Ray Norton,United States,1959-04-18,10.1,10.1,1.3,
100m,men,Bob Hayes,United States,1964-10-15,10.06,10.06,1.3,
100m,men,Jim Hines,United States,1968-06-20,10.03,10.03,0.8,
100m,men,Charles Greene,United States,1968-10-13,10.02,10.02,2.0,
100m,men,Jim Hines,United States,1968-10-14,9.95,9.95,0.3,
100m,men,Calvin Smith,United States,1983-07-03,9.93,9.93,1.4,
100m,men,Carl Lewis,United States,1987-08-30,9.93,9.93,1.0,
100m,men,Carl Lewis,United States,1988-08-17,9.93,9.93,1.1,
100m,men,Carl Lewis,United States,1988-09-24,9.92,9.92,1.1,
100m,men,Leroy Burrell,United States,1991-06-14,9.9,9.9,1.9,
100m,men,Carl Lewis,United States,1991-08-25,9.86,9.86,1.0,
100m,men,Leroy Burrell,United States,1994-07-06,9.85,9.85,1.2,9848.0
100m,men,Donovan Bailey,Canada,1996-07-27,9.84,9.84,0.7,9835.0
100m,men,Maurice Greene,United States,1999-06-16,9.79,9.79,0.1,
100m,men,Tim Montgomery,United States,2002-09-14,9.78,9.78,2.0,
100m,men,Asafa Powell,Jamaica,2005-06-14,9.77,9.77,1.6,9768.0
100m,men,Justin Gatlin,United States,2006-05-12,9.77,9.77,1.7,9766.0
100m,men,Asafa Powell,Jamaica,2006-06-11,9.77,9.77,1.5,9763.0
100m,men,Asafa Powell,Jamaica,2006-08-18,9.77,9.77,1.0,9762.0
100m,men,Asafa Powell,Jamaica,2007-09-09,9.74,9.74,1.7,9735.0
100m,men,Usain Bolt,Jamaica,2008-05-31,9.72,9.72,1.7,9715.0
100m,men,Usain Bolt,Jamaica,2008-08-16,9.69,9.69,0.0,9683.0
100m,men,Usain Bolt,Jamaica,2009-08-16,9.58,9.58,0.9,9572.0
100m,women,Marie Mejzlíková,Czechoslovakia,1922-08-05,13.6,13.6,,
100m,women,Mary Lines,United Kingdom,1922-08-20,12.8,12.8,,
100m,women,Marie Mejzlíková,Czechoslovakia,1923-05-13,12.8,12.8,,
